S 1111
R 1418 4
W 56362 14
R 56362 14
W 13907 20
R 13907 20
W 13812 15
R 13812 15
W 20257 7
R 20257 7
W 10607 9
R 10607 9
W 24581 22
R 24581 22
W 9998 30
R 9998 30
W 56961 13
R 56961 13
W 22167 26
R 22167 26
W 56265 21
R 56265 21
W 8188 22
R 8188 22
W 57312 30
R 57312 30
W 56201 12
R 56201 12
W 21139 16
R 21139 16
W 51833 27
R 51833 27
W 36756 4
R 36756 4
W 54799 14
R 54799 14
W 38072 30
R 38072 30
W 38777 10
R 38777 10
W 20966 24
R 20966 24
W 54392 8
R 54392 8
W 46138 5
R 46138 5
W 25658 3
R 25658 3
W 29845 2
R 29845 2
W 5533 2
R 5533 2
W 11272 21
R 11272 21
W 49294 23
R 49294 23
W 40823 19
R 40823 19
W 4414 1
R 4414 1
W 39651 27
R 39651 27
W 10791 20
R 10791 20
W 41563 31
R 41563 31
W 45151 20
R 45151 20
W 11322 26
R 11322 26
W 15085 1
R 15085 1
W 51394 12
R 51394 12
W 4108 27
R 4108 27
W 2797 12
R 2797 12
W 20408 28
R 20408 28
W 3864 21
R 3864 21
W 53217 3
R 53217 3
W 31470 17
R 31470 17
W 9992 26
R 9992 26
W 27783 25
R 27783 25
W 3183 3
R 3183 3
W 5117 19
R 5117 19
W 12770 15
R 12770 15
W 14029 20
R 14029 20
W 52589 15
R 52589 15
W 10778 29
R 10778 29
W 41255 29
R 41255 29
W 6080 21
R 6080 21
W 36825 22
R 36825 22
W 1402 18
R 1402 18
W 33328 15
R 33328 15
W 17639 12
R 17639 12
W 4018 13
R 4018 13
W 8833 8
R 8833 8
W 55867 28
R 55867 28
W 20224 29
R 20224 29
W 30323 14
R 30323 14
W 7489 19
R 7489 19
W 55638 31
R 55638 31
W 27287 30
R 27287 30
W 30485 19
R 30485 19
W 53022 26
R 53022 26
W 34702 3
R 34702 3
W 35184 6
R 35184 6
W 51596 15
R 51596 15
W 5880 8
R 5880 8
W 33660 24
R 33660 24
W 48589 10
R 48589 10
W 56245 10
R 56245 10
W 43496 9
R 43496 9
W 20312 11
R 20312 11
W 56474 31
R 56474 31
W 15333 18
R 15333 18
W 28193 21
R 28193 21
W 11753 22
R 11753 22
W 56319 28
R 56319 28
W 28009 11
R 28009 11
W 32059 21
R 32059 21
W 37372 3
R 37372 3
W 11358 5
R 11358 5
W 46485 14
R 46485 14
W 51012 10
R 51012 10
W 24374 24
R 24374 24
W 52287 7
R 52287 7
W 17760 31
R 17760 31
W 20699 3
R 20699 3
W 28431 19
R 28431 19
W 31364 2
R 31364 2
W 10065 17
R 10065 17
W 48 20
R 48 20
W 49501 6
R 49501 6
W 47673 13
R 47673 13
W 34637 5
R 34637 5
W 17342 29
R 17342 29
W 32287 24
R 32287 24
W 38097 21
R 38097 21
W 37747 7
R 37747 7
W 27845 8
R 27845 8
W 49447 15
R 49447 15
W 19861 28
R 19861 28
W 44843 27
R 44843 27
W 47936 23
R 47936 23
W 44007 31
R 44007 31
W 2351 14
R 2351 14
W 7785 13
R 7785 13
W 2163 20
R 2163 20
W 42383 18
R 42383 18
W 3724 3
R 3724 3
W 6689 28
R 6689 28
W 26150 25
R 26150 25
W 41575 29
R 41575 29
W 44021 22
R 44021 22
W 22285 11
R 22285 11
W 18564 30
R 18564 30
W 20927 8
R 20927 8
W 24252 6
R 24252 6
W 13451 26
R 13451 26
W 16165 12
R 16165 12
W 20416 19
R 20416 19
W 37802 5
R 37802 5
W 4532 27
R 4532 27
W 3567 16
R 3567 16
W 24267 18
R 24267 18
W 1056 30
R 1056 30
W 11974 16
R 11974 16
W 53549 4
R 53549 4
W 25919 4
R 25919 4
W 9991 12
R 9991 12
W 38366 21
R 38366 21
W 5249 3
R 5249 3
W 42406 4
R 42406 4
W 51336 28
R 51336 28
W 27961 3
R 27961 3
W 39587 18
R 39587 18
W 12290 30
R 12290 30
W 2850 19
R 2850 19
W 51819 10
R 51819 10
W 47354 2
R 47354 2
W 5516 19
R 5516 19
W 41507 8
R 41507 8
W 1889 19
R 1889 19
W 5503 11
R 5503 11
W 12403 3
R 12403 3
W 10477 31
R 10477 31
W 19475 29
R 19475 29
W 36335 15
R 36335 15
W 20651 8
R 20651 8
W 52202 25
R 52202 25
W 24101 12
R 24101 12
W 31453 29
R 31453 29
W 46298 28
R 46298 28
W 36830 2
R 36830 2
W 32528 17
R 32528 17
W 51324 28
R 51324 28
W 1523 30
R 1523 30
W 39151 3
R 39151 3
W 7664 15
R 7664 15
W 23029 4
R 23029 4
W 43765 30
R 43765 30
W 5301 2
R 5301 2
W 24656 2
R 24656 2
W 51393 23
R 51393 23
W 6427 20
R 6427 20
W 36575 15
R 36575 15
W 6968 24
R 6968 24
W 1385 10
R 1385 10
W 36795 23
R 36795 23
W 28505 21
R 28505 21
W 56864 7
R 56864 7
W 41831 9
R 41831 9
W 41589 21
R 41589 21
W 53607 19
R 53607 19
W 2757 20
R 2757 20
W 11976 15
R 11976 15
W 36414 21
R 36414 21
W 36035 9
R 36035 9
W 50721 28
R 50721 28
W 49033 27
R 49033 27
W 2608 13
R 2608 13
W 22142 16
R 22142 16
W 22564 19
R 22564 19
W 54651 20
R 54651 20
W 53550 29
R 53550 29
W 5802 14
R 5802 14
W 31914 24
R 31914 24
W 45921 8
R 45921 8
W 5736 29
R 5736 29
W 8068 13
R 8068 13
W 53285 14
R 53285 14
W 38632 31
R 38632 31
W 20938 11
R 20938 11
W 27890 23
R 27890 23
W 31023 6
R 31023 6
W 55080 21
R 55080 21
W 31460 27
R 31460 27
W 43208 19
R 43208 19
W 35213 26
R 35213 26
W 47848 18
R 47848 18
W 49944 12
R 49944 12
W 18954 26
R 18954 26
W 43941 20
R 43941 20
W 32481 14
R 32481 14
W 41525 25
R 41525 25
W 49979 29
R 49979 29
W 36017 19
R 36017 19
W 4286 8
R 4286 8
W 40398 1
R 40398 1
W 5735 31
R 5735 31
W 43565 15
R 43565 15
W 39517 19
R 39517 19
W 6966 22
R 6966 22
W 14362 20
R 14362 20
W 49512 11
R 49512 11
W 57215 6
R 57215 6
W 1174 4
R 1174 4
W 50242 23
R 50242 23
W 18166 30
R 18166 30
W 21064 2
R 21064 2
W 49544 27
R 49544 27
W 31621 28
R 31621 28
W 36774 25
R 36774 25
W 19637 5
R 19637 5
W 10741 30
R 10741 30
W 17522 28
R 17522 28
W 12460 19
R 12460 19
W 6451 22
R 6451 22
W 8692 19
R 8692 19
W 53413 22
R 53413 22
W 17489 12
R 17489 12
W 26589 15
R 26589 15
W 6575 27
R 6575 27
W 39202 2
R 39202 2
W 28483 6
R 28483 6
W 10704 15
R 10704 15
W 8430 30
R 8430 30
W 40709 9
R 40709 9
W 12697 11
R 12697 11
W 48649 12
R 48649 12
W 11991 14
R 11991 14
W 12208 20
R 12208 20
W 49482 21
R 49482 21
W 43877 9
R 43877 9
W 31282 18
R 31282 18
W 50842 30
R 50842 30
W 35888 24
R 35888 24
W 42858 10
R 42858 10
W 23191 14
R 23191 14
W 1668 10
R 1668 10
W 27638 7
R 27638 7
W 15013 18
R 15013 18
W 46505 31
R 46505 31
W 15737 26
R 15737 26
W 42342 7
R 42342 7
W 17105 14
R 17105 14
W 48637 12
R 48637 12
W 21441 18
R 21441 18
W 31590 10
R 31590 10
W 33413 2
R 33413 2
W 39729 20
R 39729 20
W 37915 22
R 37915 22
W 30615 8
R 30615 8
W 44352 30
R 44352 30
W 39953 4
R 39953 4
W 48136 8
R 48136 8
W 42008 29
R 42008 29
W 38124 13
R 38124 13
W 36952 17
R 36952 17
W 16645 2
R 16645 2
W 36327 8
R 36327 8
W 10748 7
R 10748 7
W 46680 14
R 46680 14
W 2859 15
R 2859 15
W 23779 14
R 23779 14
W 10070 19
R 10070 19
W 46799 13
R 46799 13
W 8054 12
R 8054 12
W 55030 5
R 55030 5
W 8340 9
R 8340 9
W 24699 13
R 24699 13
W 39695 16
R 39695 16
W 37706 5
R 37706 5
W 32342 3
R 32342 3
W 49760 1
R 49760 1
W 31073 8
R 31073 8
W 17201 16
R 17201 16
W 48171 25
R 48171 25
W 8474 2
R 8474 2
W 11080 18
R 11080 18
W 21766 22
R 21766 22
W 30226 12
R 30226 12
W 44560 10
R 44560 10
W 23100 21
R 23100 21
W 16960 27
R 16960 27
W 14350 17
R 14350 17
W 14189 8
R 14189 8
W 51023 15
R 51023 15
W 49944 26
R 49944 26
W 3673 28
R 3673 28
W 1280 17
R 1280 17
W 13759 30
R 13759 30
W 2839 13
R 2839 13
W 8636 25
R 8636 25
W 47424 28
R 47424 28
W 27183 24
R 27183 24
W 16291 14
R 16291 14
W 14876 17
R 14876 17
W 21962 24
R 21962 24
W 45755 3
R 45755 3
W 53032 30
R 53032 30
W 23238 25
R 23238 25
W 32231 18
R 32231 18
W 45388 14
R 45388 14
W 18363 23
R 18363 23
W 9848 3
R 9848 3
W 10080 12
R 10080 12
W 29933 5
R 29933 5
W 11810 21
R 11810 21
W 7849 5
R 7849 5
W 41902 7
R 41902 7
W 54697 31
R 54697 31
W 18714 31
R 18714 31
W 53509 10
R 53509 10
W 33821 19
R 33821 19
W 5871 10
R 5871 10
W 28298 30
R 28298 30
W 31195 22
R 31195 22
W 29642 9
R 29642 9
W 28016 24
R 28016 24
W 51917 12
R 51917 12
W 2113 6
R 2113 6
W 45088 25
R 45088 25
W 1190 17
R 1190 17
W 54232 5
R 54232 5
W 50596 28
R 50596 28
W 19496 16
R 19496 16
W 23255 28
R 23255 28
W 43794 12
R 43794 12
W 5158 6
R 5158 6
W 53149 16
R 53149 16
W 41589 14
R 41589 14
W 31946 17
R 31946 17
W 10904 24
R 10904 24
W 26487 6
R 26487 6
W 44058 23
R 44058 23
W 3057 7
R 3057 7
W 9331 7
R 9331 7
W 4490 4
R 4490 4
W 47699 11
R 47699 11
W 52328 11
R 52328 11
W 31976 15
R 31976 15
W 15173 2
R 15173 2
W 44498 8
R 44498 8
W 9116 15
R 9116 15
W 13703 8
R 13703 8
W 52494 26
R 52494 26
W 12641 9
R 12641 9
W 5196 23
R 5196 23
W 14958 1
R 14958 1
W 54275 14
R 54275 14
W 36361 9
R 36361 9
W 31460 17
R 31460 17
W 39942 19
R 39942 19
W 39829 3
R 39829 3
W 29136 23
R 29136 23
W 54865 2
R 54865 2
W 41102 6
R 41102 6
W 50807 15
R 50807 15
W 55279 12
R 55279 12
W 4185 23
R 4185 23
W 48462 26
R 48462 26
W 1395 6
R 1395 6
W 10049 24
R 10049 24
W 19113 1
R 19113 1
W 21891 18
R 21891 18
W 10295 13
R 10295 13
W 7841 1
R 7841 1
W 30216 7
R 30216 7
W 3977 15
R 3977 15
W 4352 12
R 4352 12
W 31131 22
R 31131 22
W 28689 11
R 28689 11
W 55529 12
R 55529 12
W 26761 4
R 26761 4
W 16541 23
R 16541 23
W 48718 6
R 48718 6
W 13899 10
R 13899 10
W 3226 17
R 3226 17
W 40321 4
R 40321 4
W 32571 24
R 32571 24
W 30192 28
R 30192 28
W 46737 14
R 46737 14
W 10894 3
R 10894 3
W 12088 12
R 12088 12
W 15927 29
R 15927 29
W 39793 22
R 39793 22
W 10123 1
R 10123 1
W 53755 8
R 53755 8
W 33291 23
R 33291 23
W 45388 30
R 45388 30
W 37735 3
R 37735 3
W 49299 26
R 49299 26
W 4956 11
R 4956 11
W 10046 13
R 10046 13
W 9330 23
R 9330 23
W 33761 1
R 33761 1
W 19948 8
R 19948 8
W 52980 13
R 52980 13
W 34572 30
R 34572 30
W 37521 24
R 37521 24
W 7781 12
R 7781 12
W 32021 8
R 32021 8
W 31109 10
R 31109 10
W 9828 22
R 9828 22
W 35220 23
R 35220 23
W 32313 13
R 32313 13
W 10059 20
R 10059 20
W 1710 3
R 1710 3
W 3066 14
R 3066 14
W 52100 10
R 52100 10
W 54374 15
R 54374 15
W 35535 22
R 35535 22
W 51672 23
R 51672 23
W 47820 29
R 47820 29
W 30703 23
R 30703 23
W 13863 13
R 13863 13
W 39776 1
R 39776 1
W 40005 13
R 40005 13
W 588 4
R 588 4
W 53366 8
R 53366 8
W 31322 20
R 31322 20
W 43228 16
R 43228 16
W 44411 23
R 44411 23
W 56396 7
R 56396 7
W 48504 30
R 48504 30
W 43490 7
R 43490 7
W 14134 24
R 14134 24
W 5169 1
R 5169 1
W 44660 29
R 44660 29
W 20978 1
R 20978 1
W 7259 18
R 7259 18
W 40121 21
R 40121 21
W 15189 1
R 15189 1
W 44193 21
R 44193 21
W 7080 3
R 7080 3
W 43393 26
R 43393 26
W 3014 13
R 3014 13
W 14248 28
R 14248 28
W 489 26
R 489 26
W 29368 4
R 29368 4
W 56261 14
R 56261 14
W 37183 31
R 37183 31
W 29004 5
R 29004 5
W 5129 17
R 5129 17
W 21614 28
R 21614 28
W 17956 20
R 17956 20
W 52756 27
R 52756 27
W 2181 25
R 2181 25
W 15324 9
R 15324 9
W 9994 27
R 9994 27
W 21054 9
R 21054 9
W 52615 31
R 52615 31
W 8938 27
R 8938 27
W 5959 20
R 5959 20
W 14629 23
R 14629 23
W 50228 9
R 50228 9
W 42649 30
R 42649 30
W 10214 9
R 10214 9
W 56036 6
R 56036 6
W 22438 4
R 22438 4
W 41451 7
R 41451 7
W 24603 14
R 24603 14
W 32936 30
R 32936 30
W 39273 26
R 39273 26
W 56776 21
R 56776 21
W 5128 15
R 5128 15
W 37119 7
R 37119 7
W 36363 16
R 36363 16
W 9920 3
R 9920 3
W 39100 20
R 39100 20
W 3921 26
R 3921 26
W 29903 28
R 29903 28
W 45668 1
R 45668 1
W 44496 24
R 44496 24
W 55461 26
R 55461 26
W 48282 7
R 48282 7
W 41793 14
R 41793 14
W 10895 31
R 10895 31
W 25942 25
R 25942 25
W 8301 14
R 8301 14
W 33900 10
R 33900 10
W 37669 10
R 37669 10
W 5637 7
R 5637 7
W 43349 17
R 43349 17
W 42627 27
R 42627 27
W 31914 1
R 31914 1
W 48898 27
R 48898 27
W 19391 11
R 19391 11
W 36399 29
R 36399 29
W 7854 31
R 7854 31
W 16134 27
R 16134 27
W 356 20
R 356 20
W 55293 24
R 55293 24
W 9776 19
R 9776 19
W 36844 10
R 36844 10
W 49266 29
R 49266 29
W 15123 27
R 15123 27
W 10692 2
R 10692 2
W 38088 29
R 38088 29
W 28126 8
R 28126 8
W 5418 19
R 5418 19
W 4383 12
R 4383 12
W 48130 30
R 48130 30
W 17810 8
R 17810 8
W 22127 22
R 22127 22
W 37126 16
R 37126 16
W 8072 9
R 8072 9
W 22461 26
R 22461 26
W 24159 21
R 24159 21
W 21722 13
R 21722 13
W 25739 11
R 25739 11
W 8868 17
R 8868 17
W 35044 14
R 35044 14
W 45238 3
R 45238 3
W 57217 1
R 57217 1
W 22775 1
R 22775 1
W 2333 11
R 2333 11
W 43224 31
R 43224 31
W 34549 30
R 34549 30
W 53073 4
R 53073 4
W 12971 10
R 12971 10
W 21210 6
R 21210 6
W 4803 22
R 4803 22
W 18873 14
R 18873 14
W 2180 8
R 2180 8
W 24429 6
R 24429 6
W 46048 3
R 46048 3
W 3245 19
R 3245 19
W 44665 5
R 44665 5
W 23152 22
R 23152 22
W 56312 28
R 56312 28
W 41638 22
R 41638 22
W 56701 31
R 56701 31
W 35381 14
R 35381 14
W 14824 26
R 14824 26
W 25047 16
R 25047 16
W 55774 1
R 55774 1
W 48839 17
R 48839 17
W 24392 19
R 24392 19
W 15811 29
R 15811 29
W 42772 25
R 42772 25
W 46300 10
R 46300 10
W 8002 21
R 8002 21
W 47032 8
R 47032 8
W 32494 15
R 32494 15
W 31670 27
R 31670 27
W 42383 14
R 42383 14
W 16380 13
R 16380 13
W 27098 6
R 27098 6
W 18303 7
R 18303 7
W 17335 8
R 17335 8
W 12374 31
R 12374 31
W 24072 12
R 24072 12
W 10807 26
R 10807 26
W 6046 15
R 6046 15
W 1310 22
R 1310 22
W 1324 21
R 1324 21
W 14758 30
R 14758 30
W 31620 23
R 31620 23
W 53802 30
R 53802 30
W 902 29
R 902 29
W 30041 14
R 30041 14
W 27709 8
R 27709 8
W 19489 22
R 19489 22
W 40838 17
R 40838 17
W 39387 10
R 39387 10
W 7416 16
R 7416 16
W 16595 29
R 16595 29
W 39247 23
R 39247 23
W 6225 23
R 6225 23
W 45830 12
R 45830 12
W 28575 11
R 28575 11
W 46954 6
R 46954 6
W 56480 7
R 56480 7
W 31395 11
R 31395 11
W 28001 2
R 28001 2
W 7340 27
R 7340 27
W 10046 18
R 10046 18
W 38927 5
R 38927 5
W 24321 13
R 24321 13
W 1792 2
R 1792 2
W 6866 11
R 6866 11
W 49934 27
R 49934 27
W 24313 12
R 24313 12
W 34481 29
R 34481 29
W 11594 23
R 11594 23
W 21690 9
R 21690 9
W 4585 7
R 4585 7
W 9774 8
R 9774 8
W 32530 10
R 32530 10
W 40276 16
R 40276 16
W 7930 23
R 7930 23
W 44845 19
R 44845 19
W 25322 11
R 25322 11
W 31127 13
R 31127 13
W 32465 9
R 32465 9
W 47816 12
R 47816 12
W 25744 30
R 25744 30
W 54602 25
R 54602 25
W 55859 22
R 55859 22
W 6868 6
R 6868 6
W 46514 28
R 46514 28
W 33894 12
R 33894 12
W 31666 25
R 31666 25
W 46628 13
R 46628 13
W 11109 31
R 11109 31
W 42808 7
R 42808 7
W 11641 4
R 11641 4
W 20631 29
R 20631 29
W 40354 14
R 40354 14
W 12879 6
R 12879 6
W 10950 23
R 10950 23
W 46615 8
R 46615 8
W 19181 19
R 19181 19
W 21216 26
R 21216 26
W 1884 21
R 1884 21
W 11421 19
R 11421 19
W 40258 9
R 40258 9
W 25769 19
R 25769 19
W 15255 12
R 15255 12
W 5049 31
R 5049 31
W 28231 25
R 28231 25
W 29019 1
R 29019 1
W 4438 28
R 4438 28
W 3108 9
R 3108 9
W 27680 7
R 27680 7
W 52076 28
R 52076 28
W 2954 25
R 2954 25
W 17982 14
R 17982 14
W 11493 2
R 11493 2
W 39831 19
R 39831 19
W 50899 3
R 50899 3
W 45392 6
R 45392 6
W 22839 1
R 22839 1
W 32010 10
R 32010 10
W 12487 21
R 12487 21
W 48074 22
R 48074 22
W 19380 14
R 19380 14
W 15055 6
R 15055 6
W 3863 17
R 3863 17
W 3075 15
R 3075 15
W 25958 25
R 25958 25
W 4638 16
R 4638 16
W 30962 14
R 30962 14
W 51047 28
R 51047 28
W 45435 3
R 45435 3
W 39449 3
R 39449 3
W 11058 20
R 11058 20
W 56419 13
R 56419 13
W 24930 30
R 24930 30
W 55607 1
R 55607 1
W 2608 28
R 2608 28
W 12600 26
R 12600 26
W 550 9
R 550 9
W 37615 17
R 37615 17
W 37626 11
R 37626 11
W 19572 12
R 19572 12
W 30305 9
R 30305 9
W 26960 19
R 26960 19
W 30447 22
R 30447 22
W 21803 2
R 21803 2
W 37813 27
R 37813 27
W 49336 26
R 49336 26
W 6829 10
R 6829 10
W 9040 1
R 9040 1
W 13961 26
R 13961 26
W 3641 23
R 3641 23
W 45448 17
R 45448 17
W 22174 29
R 22174 29
W 27513 15
R 27513 15
W 25835 15
R 25835 15
W 26751 10
R 26751 10
W 5844 26
R 5844 26
W 53235 18
R 53235 18
W 36404 6
R 36404 6
W 45276 25
R 45276 25
W 36685 28
R 36685 28
W 45731 9
R 45731 9
W 9081 30
R 9081 30
W 3361 23
R 3361 23
W 18783 22
R 18783 22
W 17233 25
R 17233 25
W 17509 6
R 17509 6
W 22283 27
R 22283 27
W 26760 1
R 26760 1
W 25745 11
R 25745 11
W 49400 2
R 49400 2
W 24276 4
R 24276 4
W 35825 4
R 35825 4
W 22514 8
R 22514 8
W 38313 24
R 38313 24
W 7556 14
R 7556 14
W 19808 16
R 19808 16
W 38140 5
R 38140 5
W 40311 5
R 40311 5
W 30628 8
R 30628 8
W 42440 10
R 42440 10
W 15983 5
R 15983 5
W 28623 10
R 28623 10
W 34097 12
R 34097 12
W 22527 9
R 22527 9
W 34252 21
R 34252 21
W 38610 8
R 38610 8
W 4292 6
R 4292 6
W 4967 11
R 4967 11
W 23784 19
R 23784 19
W 12677 9
R 12677 9
W 52743 19
R 52743 19
W 19091 18
R 19091 18
W 44991 2
R 44991 2
W 1312 16
R 1312 16
W 52961 13
R 52961 13
W 601 8
R 601 8
W 38166 5
R 38166 5
W 41675 15
R 41675 15
W 10880 24
R 10880 24
W 1033 6
R 1033 6
W 21441 31
R 21441 31
W 38124 4
R 38124 4
W 48543 21
R 48543 21
W 36156 14
R 36156 14
W 20836 15
R 20836 15
W 38132 6
R 38132 6
W 15783 9
R 15783 9
W 25198 21
R 25198 21
W 51090 9
R 51090 9
W 13514 17
R 13514 17
W 4727 27
R 4727 27
W 50116 3
R 50116 3
W 26955 7
R 26955 7
W 469 14
R 469 14
W 41305 5
R 41305 5
W 17432 9
R 17432 9
W 32955 30
R 32955 30
W 14752 6
R 14752 6
W 24920 24
R 24920 24
W 30946 25
R 30946 25
W 26014 6
R 26014 6
W 37415 5
R 37415 5
W 3423 17
R 3423 17
W 37036 21
R 37036 21
W 23588 25
R 23588 25
W 27493 11
R 27493 11
W 48281 27
R 48281 27
W 13865 17
R 13865 17
W 54712 28
R 54712 28
W 39344 29
R 39344 29
W 56798 16
R 56798 16
W 19499 4
R 19499 4
W 38606 16
R 38606 16
W 48371 30
R 48371 30
W 11433 24
R 11433 24
W 35555 10
R 35555 10
W 25517 18
R 25517 18
W 13709 7
R 13709 7
W 12704 3
R 12704 3
W 9725 25
R 9725 25
W 27567 29
R 27567 29
W 56415 15
R 56415 15
W 49291 17
R 49291 17
W 28204 23
R 28204 23
W 10888 28
R 10888 28
W 3412 11
R 3412 11
W 50598 22
R 50598 22
W 34559 25
R 34559 25
W 48972 18
R 48972 18
W 21658 9
R 21658 9
W 39368 11
R 39368 11
W 40508 3
R 40508 3
W 56456 30
R 56456 30
W 28289 30
R 28289 30
W 39426 3
R 39426 3
W 31724 27
R 31724 27
W 50657 24
R 50657 24
W 19961 22
R 19961 22
W 35540 6
R 35540 6
W 15536 19
R 15536 19
W 41987 27
R 41987 27
W 48578 13
R 48578 13
W 33669 7
R 33669 7
W 1565 20
R 1565 20
W 51380 22
R 51380 22
W 20166 30
R 20166 30
W 6709 12
R 6709 12
W 32754 30
R 32754 30
W 49356 8
R 49356 8
W 1253 7
R 1253 7
W 17138 15
R 17138 15
W 24704 6
R 24704 6
W 47388 8
R 47388 8
W 44865 14
R 44865 14
W 19103 2
R 19103 2
W 55629 12
R 55629 12
W 5622 26
R 5622 26
W 30795 11
R 30795 11
W 7121 23
R 7121 23
W 48204 21
R 48204 21
W 39200 22
R 39200 22
W 18178 15
R 18178 15
W 6165 21
R 6165 21
W 43538 9
R 43538 9
W 38247 3
R 38247 3
W 13231 3
R 13231 3
W 4040 13
R 4040 13
W 302 21
R 302 21
W 17065 30
R 17065 30
W 3285 29
R 3285 29
W 40032 31
R 40032 31
W 31723 26
R 31723 26
W 32051 27
R 32051 27
W 11218 21
R 11218 21
W 21151 2
R 21151 2
W 32138 1
R 32138 1
W 4913 30
R 4913 30
W 40724 21
R 40724 21
W 35712 23
R 35712 23
W 9255 11
R 9255 11
W 55325 11
R 55325 11
W 6465 8
R 6465 8
W 52230 16
R 52230 16
W 45257 8
R 45257 8
W 43742 29
R 43742 29
W 39928 10
R 39928 10
W 33730 11
R 33730 11
W 55702 19
R 55702 19
W 11289 6
R 11289 6
W 47609 22
R 47609 22
W 3463 16
R 3463 16
W 27255 26
R 27255 26
W 7183 1
R 7183 1
W 11263 30
R 11263 30
W 21169 11
R 21169 11
W 2167 12
R 2167 12
W 26622 18
R 26622 18
W 21171 8
R 21171 8
W 7208 14
R 7208 14
W 33460 14
R 33460 14
W 33052 17
R 33052 17
W 3653 3
R 3653 3
W 22159 24
R 22159 24
W 9683 30
R 9683 30
W 3396 26
R 3396 26
W 41313 3
R 41313 3
W 55120 7
R 55120 7
W 56196 22
R 56196 22
W 5476 10
R 5476 10
W 39663 28
R 39663 28
W 14251 26
R 14251 26
W 45796 7
R 45796 7
W 34078 25
R 34078 25
W 5037 14
R 5037 14
W 51476 27
R 51476 27
W 26701 13
R 26701 13
W 38157 13
R 38157 13
W 28430 5
R 28430 5
W 24174 2
R 24174 2
W 11845 2
R 11845 2
W 13486 20
R 13486 20
W 9853 3
R 9853 3
W 56190 28
R 56190 28
W 8029 31
R 8029 31
W 2438 9
R 2438 9
W 22776 25
R 22776 25
W 15794 3
R 15794 3
W 49370 13
R 49370 13
W 4467 11
R 4467 11
W 25623 30
R 25623 30
W 19177 16
R 19177 16
W 17592 14
R 17592 14
W 8951 24
R 8951 24
W 35731 1
R 35731 1
W 2216 18
R 2216 18
W 44311 15
R 44311 15
W 35198 1
R 35198 1
W 10580 27
R 10580 27
W 38294 4
R 38294 4
W 21983 31
R 21983 31
W 49918 21
R 49918 21
W 49229 11
R 49229 11
W 39603 17
R 39603 17
W 898 16
R 898 16
W 30127 15
R 30127 15
W 26286 30
R 26286 30
W 13310 23
R 13310 23
W 32910 26
R 32910 26
W 7982 26
R 7982 26
W 39002 2
R 39002 2
W 42489 25
R 42489 25
W 9517 13
R 9517 13
W 6405 29
R 6405 29
W 38004 20
R 38004 20
W 22323 31
R 22323 31
W 19896 11
R 19896 11
W 31018 6
R 31018 6
W 15075 9
R 15075 9
W 36653 10
R 36653 10
W 40963 16
R 40963 16
W 34302 5
R 34302 5
W 34164 19
R 34164 19
W 37401 24
R 37401 24
W 53489 6
R 53489 6
W 12836 7
R 12836 7
W 39197 26
R 39197 26
W 52924 21
R 52924 21
W 10133 25
R 10133 25
W 52428 11
R 52428 11
W 38494 17
R 38494 17
W 34396 25
R 34396 25
W 15921 29
R 15921 29
W 45596 12
R 45596 12
W 4963 17
R 4963 17
W 46969 28
R 46969 28
W 17958 10
R 17958 10
W 47641 11
R 47641 11
W 55156 25
R 55156 25
W 53662 10
R 53662 10
W 56697 18
R 56697 18
W 29105 5
R 29105 5
W 39904 16
R 39904 16
W 13537 17
R 13537 17
W 18480 9
R 18480 9
W 24447 15
R 24447 15
W 9644 4
R 9644 4
W 33444 19
R 33444 19
W 1378 3
R 1378 3
W 48370 3
R 48370 3
W 30219 16
R 30219 16
W 44077 15
R 44077 15
W 45540 26
R 45540 26
W 26572 21
R 26572 21
W 45688 25
R 45688 25
W 37310 17
R 37310 17
W 7469 13
R 7469 13
W 18055 19
R 18055 19
W 25566 9
R 25566 9
W 31875 1
R 31875 1
W 23829 27
R 23829 27
W 27292 11
R 27292 11
W 479 20
R 479 20
W 50848 26
R 50848 26
W 16897 23
R 16897 23
W 49159 3
R 49159 3
W 6142 22
R 6142 22
W 21566 29
R 21566 29
W 4730 11
R 4730 11
W 37691 1
R 37691 1
W 5493 15
R 5493 15
W 21731 12
R 21731 12
W 10345 3
R 10345 3
W 52143 21
R 52143 21
W 54995 1
R 54995 1
W 6229 26
R 6229 26
W 25654 4
R 25654 4
W 46763 23
R 46763 23
W 28722 29
R 28722 29
W 3414 8
R 3414 8
W 16605 10
R 16605 10
W 19008 23
R 19008 23
W 22930 28
R 22930 28
W 8894 14
R 8894 14
W 23176 3
R 23176 3
W 12543 7
R 12543 7
W 47859 29
R 47859 29
W 25247 11
R 25247 11
W 8526 17
R 8526 17
W 20388 4
R 20388 4
W 46722 21
R 46722 21
W 19466 10
R 19466 10
W 51947 29
R 51947 29
W 16589 11
R 16589 11
W 40960 13
R 40960 13
W 52560 11
R 52560 11
W 15233 26
R 15233 26
W 6586 18
R 6586 18
W 38414 17
R 38414 17
W 49441 25
R 49441 25
W 53874 11
R 53874 11
W 24724 4
R 24724 4
W 30723 16
R 30723 16
W 28865 1
R 28865 1
W 4483 14
R 4483 14
W 20851 15
R 20851 15
W 10335 31
R 10335 31
W 49853 22
R 49853 22
W 41011 22
R 41011 22
W 11879 21
R 11879 21
W 29101 16
R 29101 16
W 273 23
